"X","ParticipantID","ses_1","ses_2","ses_3","ses_4","ses_5","ses_6","ses_7","ses_8","ses_9","ses_10","coreself_1","coreself_2","coreself_3","coreself_4","coreself_5","coreself_6","coreself_7","coreself_8","coreself_9","coreself_10","SGPS_1","SGPS_2","SGPS_3","SGPS_4","SGPS_5","SGPS_6","SGPS_7","SGPS_8","SGPS_9","NPI1","NPI2","NPI3","NPI4","NPI5","NPI6","NPI7","NPI8","NPI9","NPI10","NPI11","NPI12","NPI13","NPI14","NPI15","hsns_1","hsns_2","hsns_3","hsns_4","hsns_5","hsns_6","hsns_7","hsns_8","hsns_9","hsns_10","friend_name","ID","trap1","correct_answer","trap1_item"
15,117,3,3,4,3,3,4,3,3,3,4,4,3,3,4,3,4,3,3,4,4,2,2,2,1,2,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,3,3,4,4,3,1,"李","phase_004_subj_3",NA,NA,NA
16,667,4,3,4,4,2,3,4,4,4,4,4,4,3,4,4,4,4,3,4,5,2,2,2,1,2,2,2,3,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,4,3,3,1,2,2,3,2,4,1,"邓","phase_004_subj_18",NA,NA,NA
17,401,3,4,3,3,3,3,3,3,3,4,4,3,2,4,3,4,3,3,4,4,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,3,3,4,4,5,2,"林","phase_004_subj_8",NA,NA,NA
18,276,3,2,2,3,2,2,2,2,2,2,3,2,2,3,3,2,3,2,3,2,5,4,5,4,4,3,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,2,3,3,5,4,4,4,2,4,"张","phase_004_subj_5",NA,NA,NA
1,21,3,3,4,3,4,3,3,4,4,4,4,5,4,3,4,4,4,4,4,5,1,1,1,1,2,1,4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,4,4,3,4,4,2,2,"杨","phase_005_subj_1",NA,NA,NA
3,566,4,3,4,3,3,4,3,1,4,4,4,4,5,4,4,5,4,5,4,4,4,5,4,4,1,3,4,5,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,2,4,1,4,2,4,5,5,4,"赵","phase_005_subj_13",NA,NA,NA
5,266,3,4,4,3,3,4,3,3,4,4,5,4,5,4,4,4,5,4,4,5,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,5,1,5,2,2,4,4,5,1,1,"陈","phase_005_subj_7",NA,NA,NA
7,695,4,3,4,4,3,4,4,4,4,4,5,5,5,4,5,4,5,4,5,5,1,2,1,2,1,2,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,5,1,3,1,1,2,4,3,3,1,"王","phase_005_subj_19",NA,NA,NA
8,448,3,3,3,3,3,3,3,2,3,3,4,3,2,3,3,4,3,3,3,3,2,2,2,3,2,2,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,3,3,4,2,4,2,"nyf","phase_005_subj_10",NA,NA,NA
9,150,3,4,4,4,3,4,4,3,3,4,4,3,3,4,3,4,3,3,4,4,2,2,2,2,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,2,3,3,4,4,3,1,"刘","phase_005_subj_4",NA,NA,NA
10,271,3,2,3,3,2,3,3,4,4,4,4,4,3,4,3,4,3,3,3,5,2,2,3,2,4,2,3,3,2,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2,3,2,3,4,2,3,4,2,2,"罗","phase_005_subj_8",NA,NA,NA
11,192,3,3,3,3,3,3,3,3,3,3,3,4,2,4,4,4,3,4,4,4,2,2,2,2,2,2,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,2,4,4,2,2,4,2,2,"杨","phase_005_subj_3",NA,NA,NA
12,411,3,4,4,4,3,4,3,3,4,4,5,4,5,5,4,4,5,4,5,4,4,5,4,3,5,5,3,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,4,1,2,3,3,4,2,3,"孙","phase_005_subj_9",NA,NA,NA
13,533,3,3,3,3,3,3,3,4,3,3,4,2,3,4,3,4,4,3,4,4,1,1,2,2,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,1,3,3,4,4,3,1,"张","phase_005_subj_12",NA,NA,NA
14,649,4,3,4,3,3,4,3,3,4,4,5,4,2,4,3,5,4,3,4,5,4,3,4,3,4,4,3,4,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,5,2,4,1,2,2,2,4,1,3,"王","phase_005_subj_16",NA,NA,NA
15,48,4,4,3,3,4,3,3,3,3,4,4,3,3,4,3,4,3,3,4,4,1,1,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,3,3,4,4,3,2,"陈","phase_005_subj_2",NA,NA,NA
16,171,3,3,4,3,3,3,3,4,4,4,4,4,4,4,5,4,5,4,4,5,2,2,2,2,2,2,1,4,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,1,1,1,4,1,2,1,1,1,"刘","phase_005_subj_5",NA,NA,NA
17,666,3,3,3,3,3,3,4,2,2,3,4,3,2,4,3,4,3,3,4,4,3,3,4,4,3,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,4,3,4,3,2,3,"任","phase_005_subj_17",NA,NA,NA
18,668,3,3,4,3,3,4,4,3,3,4,4,4,4,4,5,5,4,3,4,5,2,3,1,2,2,2,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,2,1,1,2,2,1,1,2,"李","phase_005_subj_18",NA,NA,NA
9,312,4,3,4,3,3,4,3,4,4,3,5,4,4,4,4,5,4,4,4,4,4,5,4,4,5,4,4,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,4,4,2,2,1,2,2,"郭","phase_006_subj_7",NA,NA,NA
10,604,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,4,4,4,3,3,4,4,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,3,4,4,3,3,4,2,2,"li","phase_006_subj_24",NA,NA,NA
11,536,4,3,4,4,4,3,3,4,4,4,4,5,5,5,4,4,5,5,4,5,1,2,1,1,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,2,1,1,1,2,2,2,1,"胡","phase_006_subj_22",NA,NA,NA
12,349,3,3,4,3,2,3,3,3,4,4,4,2,2,3,2,4,2,3,4,4,4,4,3,2,2,2,4,3,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,3,4,4,2,4,4,4,4,5,4,"陈","phase_006_subj_10",NA,NA,NA
13,14,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,3,2,3,4,4,3,4,4,4,3,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,5,4,4,5,4,4,3,2,5,"刘","phase_006_subj_1",NA,NA,NA
14,448,3,2,3,3,2,2,2,2,2,2,3,2,2,3,2,2,2,2,3,2,2,4,2,2,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,2,3,4,2,4,2,"赵","phase_006_subj_19",NA,NA,NA
15,446,3,3,4,3,4,4,4,4,4,4,5,4,5,4,4,4,4,3,4,5,1,1,2,1,3,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,1,2,3,3,1,2,1,"练","phase_006_subj_17",NA,NA,NA
17,319,4,4,4,4,3,3,4,4,4,4,4,4,4,4,5,5,4,4,4,5,2,3,2,1,2,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,4,5,4,1,4,5,4,4,1,1,"周","phase_006_subj_8",NA,NA,NA
18,272,3,3,3,3,3,3,4,3,3,3,4,3,2,4,3,4,3,2,4,4,3,4,4,3,3,4,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,2,2,3,2,2,2,3,"祁","phase_006_subj_5",NA,NA,NA
19,609,3,4,3,3,4,4,4,3,3,4,4,4,4,4,5,5,4,4,4,5,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,4,2,1,1,2,1,3,3,4,2,"田","phase_006_subj_25",NA,NA,NA
20,496,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,5,4,4,5,5,3,4,4,3,4,4,2,4,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,4,3,4,2,4,3,4,4,4,2,"刘","phase_006_subj_21",NA,NA,NA
21,112,4,3,4,3,3,4,3,4,3,3,5,4,4,4,5,4,4,4,5,5,2,4,3,2,2,2,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,4,1,2,3,4,4,2,1,"吴","phase_006_subj_4",NA,NA,NA
22,320,3,3,3,3,2,3,2,3,3,3,3,3,2,3,2,2,3,2,3,3,2,2,3,3,3,3,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,2,3,3,2,3,3,2,"封","phase_006_subj_9",NA,NA,NA
24,595,3,3,4,3,3,3,3,4,4,4,4,4,5,4,4,4,5,4,4,4,2,2,3,3,4,4,2,1,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,4,1,2,1,1,1,4,2,5,1,"罗","phase_006_subj_23",NA,NA,NA
25,90,4,3,4,4,4,3,3,4,4,4,5,5,5,4,5,4,5,5,4,5,2,2,2,2,1,2,2,4,2,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,5,1,4,1,1,1,2,4,5,2,"WQ","phase_006_subj_2",NA,NA,NA
1,574,3,4,4,3,3,3,4,3,4,3,4,5,5,4,4,5,5,4,4,4,1,2,2,1,1,2,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,4,2,1,2,1,2,2,1,4,1,"林","phase_007_subj_17",1,NA,NA
2,170,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,1,4,4,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,5,1,1,2,1,5,3,2,4,1,"刘","phase_007_subj_6",5,NA,NA
3,14,4,4,4,4,4,4,4,3,4,4,5,5,5,4,5,5,5,5,5,5,1,1,1,1,1,1,2,4,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,5,1,2,1,1,2,4,3,4,1,"王","phase_007_subj_1",NA,NA,NA
4,221,3,4,4,3,3,4,4,3,4,3,4,5,4,5,4,4,5,5,4,4,1,2,1,2,2,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,1,2,1,1,2,1,2,4,2,"刘","phase_007_subj_8",3,NA,NA
5,397,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,5,5,4,4,4,4,5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,5,4,2,5,4,5,4,2,2,"夏诗琪","phase_007_subj_11",2,NA,NA
6,88,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,4,2,2,2,2,4,4,2,4,4,"黄","phase_007_subj_4",NA,NA,NA
7,601,3,4,4,3,3,4,3,2,4,3,4,5,5,4,4,5,4,5,4,4,1,2,2,1,2,1,2,1,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,4,2,1,2,1,1,2,2,4,1,"黄","phase_007_subj_19",3,NA,NA
8,534,4,3,3,4,2,3,3,2,3,3,3,2,2,4,2,4,4,2,4,2,1,2,2,2,2,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5,1,4,1,4,4,NA,4,2,2,"李","phase_007_subj_16",2,NA,NA
9,447,3,3,3,3,2,3,3,2,3,3,3,3,2,4,4,3,3,4,4,3,5,4,5,5,5,3,4,4,2,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,4,1,2,2,5,3,4,4,3,3,"娄","phase_007_subj_13",1,NA,NA
12,587,3,4,4,3,3,3,4,3,4,4,4,4,3,4,5,4,4,4,5,5,3,2,2,2,3,1,4,4,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,5,3,2,4,4,2,4,5,2,4,"吴","phase_007_subj_18",NA,NA,NA
13,279,3,3,3,3,1,3,3,3,4,3,4,4,2,4,4,4,4,4,4,5,4,5,4,4,5,4,4,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,1,3,2,3,2,1,4,2,"韦","phase_007_subj_10",2,NA,NA
14,73,4,4,3,3,3,4,3,3,3,3,4,3,2,4,3,4,3,3,4,4,5,5,4,5,5,4,3,4,5,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,4,2,3,2,3,3,4,5,4,4,"张","phase_007_subj_3",3,NA,NA
15,148,3,2,2,2,3,2,2,2,2,2,3,2,2,3,2,3,2,2,3,2,3,3,2,3,3,2,3,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,2,3,4,4,4,2,3,3,"王","phase_007_subj_5",1,NA,NA
16,648,4,3,4,3,3,4,3,3,4,4,4,4,2,3,4,4,4,4,5,4,2,3,3,2,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,4,2,2,2,4,3,2,1,"柳","phase_007_subj_21",1,NA,NA
17,402,3,3,3,4,3,3,3,3,3,4,4,3,2,4,3,4,3,2,4,4,1,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,2,4,3,4,4,3,2,"李","phase_007_subj_12",4,NA,NA
1,361,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,2,1,2,1,1,4,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,4,1,1,1,2,2,1,1,3,1,"郭","phase_008_subj_11",NA,NA,NA
2,590,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,1,1,2,1,2,2,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,3,2,2,2,1,5,1,"何","phase_008_subj_17",5,NA,NA
3,630,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,5,1,1,1,2,4,2,1,4,1,"张","phase_008_subj_19",3,NA,NA
4,481,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,5,2,2,2,2,2,1,1,2,2,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,4,1,2,2,1,3,4,3,3,2,"孟","phase_008_subj_15",4,NA,NA
6,273,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,5,1,1,5,1,1,1,1,1,1,"袁","phase_008_subj_8",1,NA,NA
7,470,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,5,1,1,1,1,1,1,2,1,1,"范","phase_008_subj_14",4,NA,NA
8,106,4,4,4,3,4,4,4,3,4,4,5,5,5,4,5,5,5,5,5,5,1,1,2,1,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,2,2,2,1,1,4,1,"朱","phase_008_subj_1",5,NA,NA
10,405,4,4,4,4,4,4,4,3,4,4,5,5,5,4,5,5,5,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,5,1,2,2,1,3,4,1,4,1,"周","phase_008_subj_12",2,NA,NA
11,139,4,4,4,3,4,4,4,3,4,4,4,5,5,5,5,4,4,4,4,5,1,1,2,2,2,2,2,4,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,5,2,3,2,3,1,1,2,3,2,"张","phase_008_subj_2",2,NA,NA
12,417,3,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,5,2,1,1,2,2,2,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,4,5,4,2,5,2,4,4,1,2,"徐","phase_008_subj_13",NA,NA,NA
13,176,4,4,4,4,3,4,4,3,4,4,5,4,3,4,4,5,4,4,5,5,2,3,2,2,3,2,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,5,2,4,2,4,4,4,3,4,4,"陈","phase_008_subj_4",4,NA,NA
14,539,3,3,3,3,3,3,3,2,3,3,4,4,2,4,4,4,4,3,4,4,2,3,2,2,2,2,2,2,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,3,2,4,2,3,4,4,3,4,2,"s","phase_008_subj_16",1,NA,NA
15,618,3,4,4,3,3,3,3,3,3,4,4,4,2,4,4,4,4,4,5,4,2,2,1,2,1,2,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,1,4,1,4,2,4,1,1,1,"王","phase_008_subj_18",3,NA,NA
16,240,3,4,4,3,3,3,4,3,3,4,4,4,2,3,4,5,4,2,4,4,4,5,4,4,4,5,4,4,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,4,4,5,2,5,2,4,5,4,3,"仝","phase_008_subj_6",2,NA,NA
17,651,4,3,4,3,4,3,3,3,4,4,4,4,3,4,4,4,5,3,4,5,2,1,2,2,2,1,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,2,4,3,4,2,3,1,"陈","phase_008_subj_20",NA,NA,NA
18,253,4,4,3,3,4,4,3,4,4,4,4,4,5,5,5,5,5,4,5,5,4,2,3,1,2,1,2,2,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,5,2,1,2,1,4,2,3,1,1,"杜","phase_008_subj_7",4,NA,NA
19,336,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,5,1,5,2,1,4,4,2,5,1,"王","phase_008_subj_10",NA,NA,NA
